,Web ID,Region of Incident,Reported Date,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Information Source,Migration Route,UNSD Geographical Grouping,Source Quality,Latitude,Longitude
1410,50928,North Africa,1-Mar-18,2018,Mar,3.0,,3,,1.0,1.0,1.0,"Sickness and lack of access to medicines, Excessive Physical Abuse, Sexual abuse","Sahara desert, Egypt, near border with Sudan",Mixed Migration Monitoring Mechanism Initiative (4mi),,Northern Africa,2,22.295935000000, 25.557740000000
1411,51449,North Africa,1-Mar-18,2018,Mar,2.0,,2,,1.0,1.0,1.0,Sickness and lack of access to medicines,"Kufra District, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),,Northern Africa,2,22.019453000000, 23.150443000000
1412,44658,US-Mexico Border,28-Feb-18,2018,Feb,1.0,,1,,,,,Unknown,"La Visnada Ranch, Brooks County, Texas, USA",South Texas Human Rights Center,Central America to US,Northern America,4,26.829161100000, -98.365447000000
1413,44664,Mediterranean,28-Feb-18,2018,Feb,1.0,,1,,,1.0,,Presumed drowning,"5 nautical miles northeast of Plage de Bouzedjar, Ain Témouchent, Algeria",Radio Algérienne,Western Mediterranean,Uncategorized,1,35.612071497907, -1.170012647266
1414,45735,US-Mexico Border,28-Feb-18,2018,Feb,1.0,,1,,,1.0,,Drowning,"All-American Canal, Calexico, Imperial County, California, USA","Consulado de México en Calexico, Imperial County Coroner's Office",Central America to US,Northern America,5,32.708410267190, -115.465232894480
1415,50922,North Africa,28-Feb-18,2018,Feb,1.0,,1,,,1.0,,Sickness and lack of access to medicines,"Kufra District, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),,Northern Africa,2,22.669779000000, 22.627121000000
1416,50923,North Africa,28-Feb-18,2018,Feb,1.0,,1,,,1.0,,Suffocation,"Unspecified location in the Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),,Northern Africa,2,21.143170000000, 23.823002000000
1417,50924,North Africa,28-Feb-18,2018,Feb,2.0,,2,,,2.0,,"Sickness and lack of access to medicines, Suffocation, Excessive Physical Abuse","Near Sabha, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),,Northern Africa,2,26.910418000000, 14.509939000000
1418,44626,Middle East,27-Feb-18,2018,Feb,6.0,,6,4.0,1.0,1.0,4.0,Hypothermia,"Near Mergasur River, Iraq near border with Turkey","Kurdistan24, Daily Sabah, Rudaw",,Western Asia,3,36.969142252002, 44.286495544141
1419,44627,US-Mexico Border,27-Feb-18,2018,Feb,,3.0,3,,,,,Presumed drowning,"Río Bravo, near International Brigde 1, Piedras Negras, Coahuila, Mexico",Periódico La Voz,Central America to US,Central America,1,28.705677151245, -100.512335822510
1420,44638,US-Mexico Border,27-Feb-18,2018,Feb,1.0,,1,,,1.0,,Unknown (skeletal remains),"Pima County, Arizona, USA",Pima County Office of the Medical Examiner,Central America to US,Northern America,5,32.325149400000, -113.235480700000
1421,44639,US-Mexico Border,27-Feb-18,2018,Feb,1.0,,1,,,1.0,,Unknown (skeletal remains),"Pima County, Arizona, USA",Pima County Office of the Medical Examiner,Central America to US,Northern America,5,32.325149400000, -113.235480700000
1422,45762,US-Mexico Border,27-Feb-18,2018,Feb,1.0,,1,,,1.0,,Presumed drowning,"Río Bravo, near Military Road, Peñitas, Hidalgo County, Texas, USA",Hidalgo County Sheriff's Office,Central America to US,Northern America,5,26.224381322896, -98.447739555542
1423,44624,Mediterranean,26-Feb-18,2018,Feb,1.0,,1,,,1.0,,Cardiac arrest,"Tarifa, Cádiz, Spain","Europa Press, Junta de Andalucía Centro de Emergencias",Western Mediterranean,Uncategorized,3,36.008245901966, -5.603763054492
1424,44625,South America,26-Feb-18,2018,Feb,2.0,,2,,,2.0,2.0,Plane stowaway,"Bodies recovered at José Joaquín de Olmedo International Airport, Guayaquil, Ecuador","IOM Ecuador, El Comercio, Washington Post",,South America,3,-2.148053400000, -79.884198400000
1425,50921,North Africa,26-Feb-18,2018,Feb,2.0,,2,,1.0,1.0,2.0,Sickness and lack of access to medicines,"Near Aswan, Egypt",Mixed Migration Monitoring Mechanism Initiative (4mi),,Northern Africa,2,24.102273000000, 32.985841000000
1426,44623,Mediterranean,25-Feb-18,2018,Feb,1.0,,1,,,1.0,,Presumed drowning,"Playa de Levante, La Línea de la Concepción, Cádiz, Spain","Europa Press, Andalucía Información, Costa Cádiz",Western Mediterranean,Uncategorized,3,36.150995800000, -5.337883400000
1427,50918,North Africa,24-Feb-18,2018,Feb,1.0,,1,,1.0,,1.0,Sickness and lack of access to medicines,"Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),,Northern Africa,2,21.366129000000, 23.633623000000
1428,50919,North Africa,24-Feb-18,2018,Feb,1.0,,1,,,1.0,,Shot or stabbed,"Sabha, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),,Northern Africa,2,26.950841000000, 14.457394000000
1429,50920,Sub-Saharan Africa,24-Feb-18,2018,Feb,3.0,,3,,1.0,1.0,,Starvation,"Near Beira, Mozambique",Mixed Migration Monitoring Mechanism Initiative (4mi),,Eastern Africa,2,-19.721815000000, 34.879524000000
1430,44619,Central America,23-Feb-18,2018,Feb,1.0,,1,25.0,,1.0,,Shot,"Federal Highway 185, near Jáltipan de Morelos, Veracruz, Mexico","EFE, La Opinión, El Mañana",Central America to US,Central America,3,17.964245546089, -94.748625911914
1431,44620,US-Mexico Border,23-Feb-18,2018,Feb,1.0,,1,5.0,,1.0,,Hypothermia,"La Rumorosa mountain, Tecate, Baja California, Mexico","Debate, Periódico AM, El Sol de Tijuana",Central America to US,Central America,3,32.593383730267, -116.088980347270
